Name,Year,AverageDebt
Alabama - Total,2012,28895
Alaska - Total,2012,28570
Arizona - Total,2012,22253
Arkansas - Total,2012,25404
California - Total,2012,20340
Colorado - Total,2012,24608
Connecticut - Total,2012,30183
Delaware - Total,2012,32571
District of Columbia - Total,2012,26569
Florida - Total,2012,24017
Georgia - Total,2012,24517
Hawaii - Total,2012,22785
Idaho - Total,2012,26463
Illinois - Total,2012,28543
Indiana - Total,2012,28466
Iowa - Total,2012,29370
Kansas - Total,2012,26229
Kentucky - Total,2012,24693
Louisiana - Total,2012,23358
Maine - Total,2012,29934
Maryland - Total,2012,26349
Massachusetts - Total,2012,28569
Michigan - Total,2012,29583
Minnesota - Total,2012,30894
Mississippi - Total,2012,27571
Missouri - Total,2012,25541
Montana - Total,2012,27568
Nebraska - Total,2012,26490
Nevada - Total,2012,21666
New Hampshire - Total,2012,32795
New Jersey - Total,2012,28109
New Mexico - Total,2012,18656
New York - Total,2012,26372
North Carolina - Total,2012,24319
North Dakota - Total,2012,26569
Ohio - Total,2012,29090
Oklahoma - Total,2012,22570
Oregon - Total,2012,25585
Pennsylvania - Total,2012,32528
Rhode Island - Total,2012,31561
South Carolina - Total,2012,28546
South Dakota - Total,2012,25750
Tennessee - Total,2012,24585
Texas - Total,2012,25244
Utah - Total,2012,22418
Vermont - Total,2012,27318
Virginia - Total,2012,25780
Washington - Total,2012,24418
West Virginia - Total,2012,27320
Wisconsin - Total,2012,28128
Wyoming - Total,2012,22879
