OPEID,PELLID,NAME,State,,Awards,Recipients
00106100,001061,ALASKA PACIFIC UNIVERSITY,AK,2004,"300,597",136
03160300,031603,ALASKA VOCATIONAL TECHNICAL CENTER,AK,2004,"235,862",83
02541000,017066,CAREER ACADEMY,AK,2004,"508,069",225
02576900,017377,CHARTER COLLEGE,AK,2004,"518,196",275
03677300,036773,GALENA CITY SCHOOL DISTRICT - PROJECT EDUCATION RESIDENTIAL SCHOOL,AK,2004,"7,594",4
03461300,034613,ILISAGVIK COLLEGE,AK,2004,"102,016",54
00106200,001062,SHELDON JACKSON COLLEGE,AK,2004,"157,549",63
01146200,011462,UNIVERSITY OF ALASKA - ANCHORAGE,AK,2004,"5,053,065","2,308"
00106300,001063,UNIVERSITY OF ALASKA FAIRBANKS,AK,2004,"3,214,710","1,388"
00106500,001065,UNIVERSITY OF ALASKA SOUTHEAST,AK,2004,"736,045",357
00100200,001002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,2004,"10,203,907","4,446"
00103400,001034,ALABAMA SOUTHERN COMMUNITY COLLEGE,AL,2004,"2,484,114",975
03032500,030325,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,2004,"62,701",17
00100500,001005,ALABAMA STATE UNIVERSITY,AL,2004,"10,933,403","3,758"
00100800,001008,ATHENS STATE UNIVERSITY,AL,2004,"2,254,803",966
00100900,001009,AUBURN UNIVERSITY,AL,2004,"7,808,119","3,020"
00831000,008310,AUBURN UNIVERSITY MONTGOMERY,AL,2004,"4,490,188","1,770"
00570400,005704,BESSEMER STATE TECHNICAL COLLEGE,AL,2004,"1,721,273",989
00573300,005733,BEVILL STATE COMMUNITY COLLEGE,AL,2004,"6,872,185","2,896"
00101200,001012,BIRMINGHAM SOUTHERN COLLEGE,AL,2004,"464,597",174
00103000,001030,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS,AL,2004,"11,918,707","4,530"
03783300,037833,BLUE CLIFF CAREER COLLEGE,AL,2004,"119,663",59
00101300,001013,CALHOUN COMMUNITY COLLEGE-DECATUR,AL,2004,"7,861,216","3,595"
02341000,016592,CAPPS COLLEGE,AL,2004,"2,538,668","1,132"
03361400,033614,CAPPS COLLEGE,AL,2004,"966,366",383
00100700,001007,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,2004,"2,989,759","1,222"
01218200,012182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,2004,"3,108,172","1,243"
01055400,010554,CONCORDIA COLLEGE,AL,2004,"2,115,838",757
00101500,001015,ENTERPRISE-OZARK COMMUNITY COLLEGE,AL,2004,"2,229,429",962
00106000,001060,FAULKNER STATE COMMUNITY COLLEGE,AL,2004,"3,682,328","1,606"
00100300,001003,FAULKNER UNIVERSITY,AL,2004,"4,141,723","1,675"
00446200,004462,GADSDEN BUSINESS COLLEGE,AL,2004,"566,889",263
00101700,001017,GADSDEN STATE COMMUNITY COLLEGE,AL,2004,"4,836,732","2,020"
00101706,005705,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,2004,"1,678,655",684
02323800,016445,GAITHER & COMPANY BEAUTY COLLEGE,AL,2004,"130,553",50
00101800,001018,GEORGE C. WALLACE COMMUNITY COLLEGE,AL,2004,"4,033,099","2,171"
00787100,007871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,AL,2004,"7,079,339","2,740"
00569900,009980,GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION,AL,2004,"4,121,187","1,712"
00573400,005734,H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE,AL,2004,"1,307,412","1,551"
00573401,005693,H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE - PATTERSON CAMPUS,AL,2004,"842,141",488
02199700,015370,HERITAGE CHRISTIAN UNIVERSITY,AL,2004,"170,799",73
01019300,010193,HERZING COLLEGE,AL,2004,"1,003,770",404
00101900,001019,HUNTINGDON COLLEGE,AL,2004,"530,533",222
00526000,005260,J F DRAKE STATE TECHNICAL COLLEGE,AL,2004,"1,608,235",695
00102000,001020,JACKSONVILLE STATE UNIVERSITY,AL,2004,"8,645,465","3,271"
00102100,001021,JEFFERSON DAVIS COMMUNITY COLLEGE,AL,2004,"2,506,699","1,017"
00102200,001022,JEFFERSON STATE COMMUNITY COLLEGE,AL,2004,"4,461,862","2,105"
00102300,001023,JUDSON COLLEGE,AL,2004,"385,575",158
00105900,001059,LAWSON STATE COMMUNITY COLLEGE,AL,2004,"5,552,865","2,062"
00898800,008988,LURLEEN B. WALLACE COMMUNITY COLLEGE,AL,2004,"1,386,747",534
00898802,005698,LURLEEN B. WALLACE COMMUNITY COLLEGE - MACARTHUR CAMPUS,AL,2004,"949,566",467
00102600,001026,MARION MILITARY INSTITUTE,AL,2004,"126,215",46
00102800,001028,MILES COLLEGE,AL,2004,"4,569,066","1,587"
00103100,001031,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,2004,"2,832,536","1,241"
00569700,005697,NORTHWEST-SHOALS COMMUNITY COLLEGE,AL,2004,"6,581,149","2,614"
00103300,001033,OAKWOOD COLLEGE,AL,2004,"2,425,785",852
02296000,016217,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,2004,"158,990",64
00569200,005692,REID STATE TECHNICAL COLLEGE,AL,2004,"1,402,511",719
02605500,026055,REMINGTON COLLEGE - MOBILE CAMPUS,AL,2004,"5,814,561","2,726"
00103600,001036,SAMFORD UNIVERSITY,AL,2004,"1,001,222",407
00569100,005691,SHELTON STATE COMMUNITY COLLEGE,AL,2004,"8,266,944","3,345"
00103800,001038,SNEAD STATE COMMUNITY COLLEGE,AL,2004,"2,237,764",901
02270400,013857,SOUTHEASTERN BIBLE COLLEGE,AL,2004,"295,582",118
03459300,034593,SOUTHEASTERN SCHOOL OF COSMETOLOGY,AL,2004,"518,994",190
02503400,016885,SOUTHERN CHRISTIAN UNIVERSITY,AL,2004,"629,411",253
01123700,011237,SOUTHERN COMMUNITY COLLEGE,AL,2004,"258,603",100
00104000,001040,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,2004,"4,870,225","1,964"
00104100,001041,SPRING HILL COLLEGE,AL,2004,"997,575",399
00104400,001044,STILLMAN COLLEGE,AL,2004,"2,850,519","1,030"
00104600,001046,TALLADEGA COLLEGE,AL,2004,"1,011,750",353
00104700,001047,TROY STATE UNIVERSITY,AL,2004,"14,490,436","5,924"
00105000,001050,TUSKEGEE UNIVERSITY,AL,2004,"3,793,958","1,261"
00105100,001051,UNIVERSITY OF ALABAMA,AL,2004,"10,836,677","3,959"
00105200,001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,2004,"9,789,548","3,660"
00105500,001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,2004,"3,612,600","1,432"
00102900,001029,UNIVERSITY OF MOBILE,AL,2004,"2,052,539",829
00100400,001004,UNIVERSITY OF MONTEVALLO,AL,2004,"1,901,698",746
