OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
00106100,001061,ALASKA PACIFIC UNIVERSITY,AK,Private 4 Year,151,"357,124"
03160300,031603,ALASKA VOCATIONAL TECHNICAL CENTER,AK,Public 2 Year,96,"248,092"
02541000,017066,CAREER ACADEMY,AK,Proprietary,258,"578,814"
02576900,017377,CHARTER COLLEGE,AK,Proprietary,265,"548,323"
03461300,034613,ILISAGVIK COLLEGE,AK,Public 2 Year,33,"67,522"
00106200,001062,SHELDON JACKSON COLLEGE,AK,Private 4 Year,72,"178,509"
01146200,011462,UNIVERSITY OF ALASKA - ANCHORAGE,AK,Public 4 Year,"2,419","5,123,342"
00106300,001063,UNIVERSITY OF ALASKA FAIRBANKS,AK,Public 4 Year,"1,359","3,136,355"
00106500,001065,UNIVERSITY OF ALASKA SOUTHEAST,AK,Public 4 Year,345,"708,984"
00100200,001002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,Public 4 Year,"3,575","9,821,064"
00103400,001034,ALABAMA SOUTHERN COMMUNITY COLLEGE,AL,Public 2 Year,955,"2,430,215"
03032500,030325,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,Proprietary,19,"51,500"
00100500,001005,ALABAMA STATE UNIVERSITY,AL,Public 4 Year,"3,602","10,663,562"
00100800,001008,ATHENS STATE UNIVERSITY,AL,Public 4 Year,"1,001","2,341,895"
00100900,001009,AUBURN UNIVERSITY,AL,Public 4 Year,"3,013","7,820,446"
00831000,008310,AUBURN UNIVERSITY MONTGOMERY,AL,Public 4 Year,"1,698","4,313,927"
00573300,005733,BEVILL STATE COMMUNITY COLLEGE,AL,Public 2 Year,"2,746","6,564,465"
00101200,001012,BIRMINGHAM SOUTHERN COLLEGE,AL,Private 4 Year,172,"428,015"
00103000,001030,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS,AL,Public 2 Year,"3,771","10,187,328"
03783300,037833,BLUE CLIFF CAREER COLLEGE,AL,Proprietary,69,"139,372"
00101300,001013,CALHOUN COMMUNITY COLLEGE-DECATUR,AL,Public 2 Year,"3,344","7,158,911"
02341000,016592,CAPPS COLLEGE,AL,Proprietary,"1,131","2,368,698"
03361400,033614,CAPPS COLLEGE,AL,Proprietary,462,"949,567"
00100700,001007,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,Public 2 Year,"1,334","3,215,656"
01218200,012182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,Public 2 Year,"1,271","3,058,692"
01055400,010554,CONCORDIA COLLEGE,AL,Private 4 Year,816,"2,238,316"
00101500,001015,ENTERPRISE-OZARK COMMUNITY COLLEGE,AL,Public 2 Year,881,"2,049,783"
00106000,001060,FAULKNER STATE COMMUNITY COLLEGE,AL,Public 2 Year,"1,649","3,712,158"
00100300,001003,FAULKNER UNIVERSITY,AL,Private 4 Year,"1,728","4,248,663"
00446200,004462,GADSDEN BUSINESS COLLEGE,AL,Proprietary,143,"238,959"
00101700,001017,GADSDEN STATE COMMUNITY COLLEGE,AL,Public 2 Year,"2,595","6,185,760"
02323800,016445,GAITHER & COMPANY BEAUTY COLLEGE,AL,Proprietary,46,"123,754"
00101800,001018,GEORGE C. WALLACE COMMUNITY COLLEGE,AL,Public 2 Year,"2,150","3,931,876"
00787100,007871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,AL,Public 2 Year,"4,114","7,369,094"
00569900,009980,GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION,AL,Public 2 Year,"1,705","4,076,629"
00573400,005734,H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE,AL,Public 2 Year,"1,127","1,785,963"
02199700,015370,HERITAGE CHRISTIAN UNIVERSITY,AL,Private 4 Year,64,"152,188"
01019300,010193,HERZING COLLEGE,AL,Proprietary,404,"960,453"
00101900,001019,HUNTINGDON COLLEGE,AL,Private 4 Year,240,"596,750"
00526000,005260,J F DRAKE STATE TECHNICAL COLLEGE,AL,Public 2 Year,661,"1,555,649"
00102000,001020,JACKSONVILLE STATE UNIVERSITY,AL,Public 4 Year,"3,076","8,316,560"
00102100,001021,JEFFERSON DAVIS COMMUNITY COLLEGE,AL,Public 2 Year,884,"2,021,449"
00102200,001022,JEFFERSON STATE COMMUNITY COLLEGE,AL,Public 2 Year,"2,228","4,284,139"
00102300,001023,JUDSON COLLEGE,AL,Private 4 Year,151,"391,327"
